Cliente;Descrição;CNPJ;ISIN;Qtd.;Valor Nominal;Rendimiento;Valor Bruto;IRRF;IOF;Valor Líquido;% s/Seg;% s/PL
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1030067,02;-;1030067,02;0,00;0,00;1030067,02;5,6837891678957E-6;3,001101056
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1030067,02;-;1030067,02;0,00;0,00;1030067,02;1,271806790006E-5;3,001101056
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1031676,81;-;1031676,81;0,00;0,00;1031676,81;5,69267180056613E-6;3,00808096
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1031676,81;-;1031676,81;0,00;0,00;1031676,81;1,27379437121454E-5;3,00808096
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1031939,61;-;1031939,61;0,00;0,00;1031939,61;5,69412190018521E-6;3,003960655
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1031939,61;-;1031939,61;0,00;0,00;1031939,61;1,27411884604765E-5;3,003960655
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1033837,92;-;1033837,92;0,00;0,00;1033837,92;5,70459655242221E-6;3,009152095
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1033837,92;-;1033837,92;0,00;0,00;1033837,92;1,27646265814984E-5;3,009152095
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1033908;-;1033908;0,00;0,00;1033908;5,70498324565396E-6;3,010938389
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1033908;-;1033908;0,00;0,00;1033908;1,276549184772E-5;3,010938389
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1034418,42;-;1034418,42;0,00;0,00;1034418,42;5,7077996834301E-6;3,01244138
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1034418,42;-;1034418,42;0,00;0,00;1034418,42;1,27717939194217E-5;3,01244138
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1034917,42;-;1034917,42;0,00;0,00;1034917,42;5,71055310698382E-6;3,011242172
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1034917,42;-;1034917,42;0,00;0,00;1034917,42;1,27779549902636E-5;3,011242172
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1035668,36;-;1035668,36;0,00;0,00;1035668,36;5,71469670594861E-6;3,013500536
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1035668,36;-;1035668,36;0,00;0,00;1035668,36;1,27872267228047E-5;3,013500536
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1037733,19;-;1037733,19;0,00;0,00;1037733,19;5,72609019604166E-6;3,016426911
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1037733,19;-;1037733,19;0,00;0,00;1037733,19;1,28127208388498E-5;3,016426911
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1040248,29;-;1040248,29;0,00;0,00;1040248,29;5,73996822325602E-6;3,015449918
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1040248,29;-;1040248,29;0,00;0,00;1040248,29;1,28437743644499E-5;3,015449918
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1041404,13;-;1041404,13;0,00;0,00;1041404,13;5,74634601299617E-6;3,015133699
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1041404,13;-;1041404,13;0,00;0,00;1041404,13;1,28580453306261E-5;3,015133699
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1041882,97;-;1041882,97;0,00;0,00;1041882,97;5,74898819603117E-6;3,013247077
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1041882,97;-;1041882,97;0,00;0,00;1041882,97;1,28639574892673E-5;3,013247077
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1041937,94;-;1041937,94;0,00;0,00;1041937,94;5,7492915140527E-6;3,015492858
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1041937,94;-;1041937,94;0,00;0,00;1041937,94;1,28646361948067E-5;3,015492858
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1042256,95;-;1042256,95;0,00;0,00;1042256,95;5,75105177386808E-6;3,013912072
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1042256,95;-;1042256,95;0,00;0,00;1042256,95;1,28685749587532E-5;3,013912072
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1044384,52;-;1044384,52;0,00;0,00;1044384,52;5,76279145593259E-6;3,010908241
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1044384,52;-;1044384,52;0,00;0,00;1044384,52;1,28948437152484E-5;3,010908241
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1045495,86;-;1045495,86;0,00;0,00;1045495,86;5,76892369988489E-6;3,010851086
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1045495,86;-;1045495,86;0,00;0,00;1045495,86;1,29085652472512E-5;3,010851086
